productname,currentprice,offer_price,processor,Ram,storage,size,warranty,,,,,,,,,,
ASUS ,62990,46990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,40990,27990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
ASUS ,82990,66990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1year,,,,,,,,,,
DELL ,50826,36890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
Lenov,103490,68500,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
acer ,83999,57990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
APPLE,149990,139990,Apple M2 Processor,8 GB Unified Memory RAM,512 GB SSD,34.54 cm (13.6 Inch) Display,1year,,,,,,,,,,
APPLE,239900,213894,Apple M1 Pro Processor,16 GB Unified Memory RAM,1 TB SSD,36.07 cm (14.2 inch) Display,1year,,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
ASUS ,122990,74990,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1year,,,,,,,,,,
ASUS ,70990,56990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,98252,76519,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits", Dell Active Pen,Intel Core i5 Processor (12th Gen),1year,,,,,,,,,
ASUS ,128990,101990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,69990,49990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,40490,27990,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
realm,54999,36990,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,Intel Core i3 Processor (11th Gen),1year,,,,,,
DELL ,108000,73990,NVIDIA GEFORCE RTX 3050,15.6 inches Full HD, 2-sided narrow bezel, 120Hz, 250 Nits,Game shift key for Turbo boost of power,In-built Alienware Command center software with enhanced control over system settings,1year,,,,,,,
ASUS ,89990,74990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
APPLE,329900,307990,Apple M1 Max Processor,32 GB Unified Memory RAM,1 TB SSD,41.15 cm (16.2 inch) Display,1year,,,,,,,,,,
Lenov,60890,33890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
ASUS ,70990,56990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 inch) Display,1year,,,,,,,,,,
DELL ,54435,41190,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
DELL ,98252,76519,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits", Dell Active Pen,Intel Core i5 Processor (12th Gen),1year,,,,,,,,,
Lenov,59890,37000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
acer ,83999,57990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,128990,101990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
ASUS ,69990,49990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,84603,52890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
HP Pa,73688,62499,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,35.56 cm (14 Inch) Display,1year,,,,,,,,,,
Lenov,40490,27990,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Infin,59990,47990,Intel Core i5 Processor (11th Gen),16 GB LPDDR4X RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,1year,,,,,,,,,,
Lenov,71990,52990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,1year,,,,,,,,,,
